timestamp,type,amount,merchant_id,merchant_name,merchant_latitude,merchant_longitude,merchant_category,customer_id,customer_age,customer_latitude,customer_longitude,payment_method,currency,day_of_week,time_of_day,transaction_status,flag_fraudulent_activity,anomaly_score,applied_discounts,reward_points,transaction_channel,app_vs_website,device_used,balance_before,balance_after,transaction_fee
2023-11-29 10:18:23,deposit,203.5,4008,Merchant_4008,-47.014574,-14.316632,electronics_store,29779,52,-4.804441,-26.90705,credit_card,EUR,Thursday,morning,completed,False,0.7,49.85,22,in-person,website,desktop,4627.48,4423.98,2.59
2023-11-29 10:18:24,deposit,67.06,5061,Merchant_5061,41.593867,-24.83123,clothing_store,99639,45,-41.034814,-117.342036,credit_card,EUR,Wednesday,evening,pending,True,0.86,16.78,61,in-person,website,smartphone,8907.27,8840.210000000001,1.43
2023-11-29 10:18:25,purchase,147.52,1108,Merchant_1108,3.512991,110.02595,clothing_store,77091,54,44.814005,135.397693,credit_card,USD,Tuesday,afternoon,declined,True,0.93,15.28,84,online,mobile_app,smartphone,4732.3,4584.78,2.25
2023-11-29 10:18:26,withdrawal,538.05,4850,Merchant_4850,-2.628744,-146.319995,clothing_store,65654,39,-46.267097,-69.66643,cash,EUR,Tuesday,morning,completed,False,0.57,29.08,65,in-person,mobile_app,smartphone,6545.57,6007.5199999999995,1.47
2023-11-29 10:18:27,purchase,782.4,5155,Merchant_5155,-25.521367,8.421577,clothing_store,21765,30,59.512923,0.330843,debit_card,USD,Saturday,evening,pending,True,0.85,2.55,66,in-person,mobile_app,smartphone,9530.76,8748.36,8.91
2023-11-29 10:18:28,deposit,617.79,1703,Merchant_1703,-88.088306,-60.985824,restaurant,36690,18,-76.917586,-46.946183,credit_card,USD,Tuesday,morning,pending,True,0.97,19.89,67,online,website,desktop,9010.41,8392.619999999999,9.7
2023-11-29 10:18:29,deposit,728.43,9778,Merchant_9778,-4.509485,-174.574252,restaurant,78020,39,23.440761,-45.51402,cash,EUR,Sunday,afternoon,pending,False,0.61,24.58,12,online,mobile_app,smartphone,1288.95,560.5200000000001,7.06
2023-11-29 10:18:30,withdrawal,696.13,6646,Merchant_6646,-53.852046,-73.277773,electronics_store,33358,22,-68.954879,95.063076,cash,USD,Saturday,evening,pending,True,0.53,19.5,39,online,mobile_app,smartphone,6912.96,6216.83,9.87
2023-11-29 10:18:31,withdrawal,694.79,3509,Merchant_3509,-49.837789,-84.070102,electronics_store,41770,42,-60.316955,131.985666,credit_card,GBP,Friday,afternoon,completed,False,0.78,37.28,83,online,website,desktop,9356.06,8661.27,7.28
2023-11-29 10:18:32,withdrawal,269.83,8004,Merchant_8004,44.237846,-120.206659,electronics_store,97225,31,-58.497618,-118.518416,credit_card,EUR,Sunday,afternoon,declined,True,0.98,18.11,8,in-person,mobile_app,smartphone,5313.13,5043.3,4.28
2023-11-29 10:18:33,deposit,705.91,7574,Merchant_7574,-23.125395,157.898324,restaurant,15579,24,-34.303792,99.1788,cash,USD,Thursday,evening,pending,False,0.73,8.67,24,online,website,smartphone,270.82,-435.09,4.56
2023-11-29 10:18:34,deposit,816.82,3676,Merchant_3676,-47.114525,-151.432697,clothing_store,45732,58,82.765288,47.451989,debit_card,USD,Tuesday,afternoon,pending,True,0.51,10.77,43,online,website,smartphone,4605.9,3789.0799999999995,3.74
2023-11-29 10:18:35,withdrawal,392.71,1098,Merchant_1098,37.999954,147.84747,clothing_store,41168,29,-58.430282,73.575175,debit_card,EUR,Sunday,morning,completed,True,0.9,3.54,78,in-person,website,smartphone,2429.79,2037.08,1.69
2023-11-29 10:18:36,deposit,938.25,1307,Merchant_1307,67.074377,158.023864,clothing_store,45145,53,-51.38804,50.63306,credit_card,GBP,Friday,afternoon,completed,True,1.0,41.99,27,online,website,smartphone,839.13,-99.12,6.64
2023-11-29 10:18:37,purchase,103.88,3853,Merchant_3853,-76.528752,-1.773401,restaurant,90964,49,73.921242,-53.097546,cash,USD,Sunday,morning,completed,False,0.79,32.85,21,in-person,website,desktop,4574.39,4470.51,5.52
2023-11-29 10:18:38,purchase,700.19,9927,Merchant_9927,39.955263,-57.985779,clothing_store,57982,64,-12.324283,175.875745,debit_card,EUR,Sunday,evening,declined,True,0.8,34.03,99,online,mobile_app,smartphone,1488.96,788.77,1.6
2023-11-29 10:18:39,purchase,342.41,4565,Merchant_4565,75.505939,-138.594734,electronics_store,53492,56,51.606316,155.187822,debit_card,USD,Tuesday,morning,pending,True,0.92,1.42,7,online,website,desktop,1265.91,923.5,5.19
2023-11-29 10:18:40,deposit,26.37,2993,Merchant_2993,-63.49681,-61.407441,restaurant,31460,28,12.010227,124.808569,credit_card,USD,Tuesday,evening,pending,True,0.73,46.59,15,in-person,website,smartphone,2993.77,2967.4,2.11
2023-11-29 10:18:41,purchase,876.02,1056,Merchant_1056,-68.507766,55.429624,electronics_store,97664,48,-33.354986,-14.33039,credit_card,EUR,Friday,morning,declined,True,0.6,6.94,84,online,website,desktop,9675.89,8799.869999999999,8.21
2023-11-29 10:18:42,withdrawal,704.5,8570,Merchant_8570,87.706818,-135.783453,clothing_store,53264,39,-76.820865,-68.376617,cash,GBP,Sunday,morning,pending,True,0.52,45.03,97,in-person,website,smartphone,2512.82,1808.3200000000002,1.94
2023-11-29 10:18:43,withdrawal,205.8,2776,Merchant_2776,-36.596537,-146.124843,clothing_store,95901,57,47.450891,25.060108,credit_card,EUR,Saturday,morning,declined,True,0.55,21.96,62,in-person,website,desktop,6751.72,6545.92,1.8
2023-11-29 10:18:44,purchase,138.26,8122,Merchant_8122,31.800174,179.367578,electronics_store,88432,24,-18.685884,74.64012,credit_card,GBP,Thursday,morning,declined,False,0.8,7.9,39,in-person,website,smartphone,9443.13,9304.869999999999,9.46
2023-11-29 10:18:45,withdrawal,271.0,2296,Merchant_2296,10.754531,148.084012,electronics_store,80125,47,-20.786751,-54.835537,credit_card,USD,Thursday,evening,declined,False,0.62,30.04,76,in-person,website,smartphone,5969.61,5698.61,9.43
2023-11-29 10:18:46,withdrawal,492.9,5616,Merchant_5616,35.962191,117.907631,electronics_store,39028,52,-47.760847,-70.535575,cash,GBP,Friday,evening,completed,False,0.97,0.79,96,in-person,mobile_app,desktop,6424.43,5931.530000000001,3.93
